 count,0,10,15,30,55,75,80,90
317,0.05,10.03,15.05,29.98,55.02,74.96,79.97,89.9,
318,0.05,10.06,15.03,29.98,55.03,74.97,79.97,89.89,
319,0.08,10.06,15.03,29.98,55.04,74.97,79.95,89.9,
320,0.07,10.06,15.05,29.98,55.06,74.97,79.95,89.91,
321,0.07,10.05,15.05,29.97,55.03,74.98,79.97,89.92,
322,0.06,10.06,15.03,30.01,55.03,74.97,79.96,89.91,
323,0.06,10.05,15.02,29.98,55.03,74.97,79.95,89.91,
324,0.06,10.07,15.03,29.98,55.02,74.95,79.95,89.89,
325,0.05,10.05,15.02,29.97,55.03,74.97,79.95,89.9,
326,0.07,10.05,15.02,29.98,55.03,74.98,79.98,89.9,
327,0.07,10.06,15.02,30.0,55.06,74.97,79.97,89.91,
328,0.07,10.06,15.03,29.98,55.04,74.98,79.97,89.92,
329,0.05,10.05,15.03,29.99,55.03,74.97,79.97,89.9,
330,0.05,10.06,15.02,29.98,55.03,74.95,79.94,89.91,
331,0.06,10.06,15.03,29.98,55.06,74.97,79.97,89.89,
332,0.07,10.04,15.02,29.99,55.03,74.97,79.95,89.9,
333,0.07,10.06,15.03,29.99,55.04,74.97,79.95,89.9,
334,0.04,10.05,15.05,29.98,55.02,74.97,79.95,89.9,
335,0.05,10.05,15.03,30.0,55.03,74.98,79.95,89.91,
336,0.05,10.06,15.03,29.98,55.02,74.98,79.95,89.9,
337,0.06,10.06,15.04,29.98,55.03,74.95,79.95,89.89,
338,0.06,10.05,15.03,30.0,55.03,74.98,79.95,89.9,
339,0.06,10.07,15.02,29.98,55.04,74.95,79.97,89.91,
340,0.06,10.03,15.03,30.0,55.02,74.98,79.95,89.89,
341,0.06,10.03,15.02,29.98,55.04,74.98,79.97,89.9,
342,0.06,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
343,0.07,10.05,15.03,29.97,55.02,74.97,79.95,89.9,
344,0.05,10.06,15.02,29.99,55.02,74.97,79.94,89.89,
345,0.05,10.04,15.02,29.98,55.02,74.95,79.95,89.87,
346,0.04,10.06,15.02,29.99,55.03,74.97,79.95,89.89,
347,0.07,10.06,15.03,29.99,55.04,74.98,79.96,89.92,
348,0.06,10.06,15.03,29.95,55.03,74.96,79.95,89.9,
